anexo_cat68;segmento;ato_base;item_norma;cest;ncm;descricao;condicao;metodo_base_calculo;iva_st_percentual;iva_st_ajustado_aplicavel;vigencia_inicio;vigencia_fim;status_em_2026_09_21;fonte_oficial;observacao
I;FUMO_OU_SUCEDANEOS_MANUFATURADOS;Portaria CAT 70/2019;TODOS;;;Mercadorias do Anexo I da CAT 68/2019;Base = preço praticado + encargos, com MVA de 50%.;IVA_ST;50.0;False;2020-01-01;;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-CAT-70-de-2019.aspx;
II;CIMENTO;Portaria SRE 37/2026;FALLBACK_ART2;;2523;Cimento - IVA aplicável nas hipóteses do art. 2º da SRE 37/2026;"Usar quando não se aplicar PMPF: decisão administrativa/judicial sem outra base; ausência de preço no Anexo Único; ou valor da operação própria >= 80% do preço sugerido.";PMPF_COM_IVA_FALLBACK;45.04;True;2026-09-01;2027-08-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-37-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_GERAL;;;Refrigerantes;"Saída de fabricante, engarrafador, importador, distribuidor, depósito, atacadista ou arrematante; quando aplicável o IVA do art. 2º.";PMPF_COM_IVA_FALLBACK;66.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_XAROPE_GERAL;;2106.90.10;Xarope/extrato concentrado para refrigerante pré-mix/post-mix;"Saída de fabricante, engarrafador, importador, distribuidor, depósito, atacadista ou arrematante; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;140.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_INTER_VIDRO_RET_MAIS_600;;;Refrigerante em garrafa de vidro retornável acima de 600 ml;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;20.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_INTER_PLAST_NRET_2_2_5L;;;Refrigerante em garrafa plástica não retornável com 2 L ou 2,5 L;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;20.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_INTER_PLAST_NRET_1L;;;Refrigerante em garrafa plástica não retornável com 1 L;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;20.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_INTER_PLAST_RET_ATE_2L;;;Refrigerante em garrafa plástica retornável com até 2 L;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;37.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_INTER_LATA_GARRAFA_NRET;;;Refrigerante em lata e garrafa não retornável;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;35.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_INTER_GARRAFA_RET_ATE_330;;;Refrigerante em garrafa retornável com até 330 ml;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;70.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
